,latitud,longitud,barrio,property_type,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_price
188529,-34.541453,-58.4763241,Saavedra,casa,5,4,164,164,300000
299931,-34.6197145,-58.4330011,Caballito,departamento,4,3,112,98,350000
195502,-34.5693681,-58.4797881,Villa Urquiza,departamento,2,1,40,30,69000
442646,-34.6274067,-58.4279029,Caballito,departamento,4,3,91,82,220000
412816,-34.6057934,-58.4886936,Villa del Parque,departamento,2,1,41,38,85000
402039,-34.5979265,-58.4915582,Villa del Parque,departamento,2,1,40,40,85000
433833,-34.5665585,-58.4358595,Palermo,departamento,1,1,41,37,130000
192216,-34.576523,-58.50724,Villa Pueyrredón,ph,3,2,80,70,139900
427082,-34.5653115,-58.4668453,Belgrano,departamento,3,2,81,81,148000
330812,-34.5462891845,-58.4581999963,Nuñez,departamento,2,1,46,44,210000
236600,-34.6158104,-58.4382605,Caballito,departamento,3,2,76,70,215000
403329,-34.6028805,-58.4415958,Villa Crespo,departamento,4,3,152,131,332000
450059,-34.6479899,-58.5160384,Liniers,casa,6,6,236,216,189000
141083,-34.6340134,-58.3751893,Barracas,ph,4,3,152,122,239999
404977,-34.6214501,-58.5098316,Monte Castro,departamento,3,3,66,66,115000
339539,-34.5815016,-58.4048505,Palermo,departamento,3,2,110,110,350000
369229,-34.597603,-58.4323856,Villa Crespo,departamento,3,2,81,68,221027
435947,-34.63912,-58.521075,Liniers,departamento,1,1,45,45,69000
268323,-34.5982072804,-58.4297132492,Villa Crespo,departamento,3,2,56,54,165000
37520,-34.6153732,-58.4756584,Villa del Parque,departamento,3,2,95,61,178000
419255,-34.5946227,-58.5079687,Villa Devoto,departamento,2,1,72,46,144500
162406,-34.6243909,-58.4360853,Caballito,departamento,3,2,82,54,140000
28350,-34.6530571,-58.5103179,Mataderos,ph,3,2,118,53,112000
418592,-34.5763403,-58.4227389,Palermo,departamento,3,2,57,57,170000
242220,-34.568653,-58.443848,Palermo,departamento,2,1,52,39,125000
324287,-34.5960619,-58.4339894,Palermo,departamento,3,2,113,71,245000
129371,-34.637388,-58.4473428,Parque Chacabuco,departamento,2,1,42,38,79660
347262,-34.563005,-58.453674,Belgrano,departamento,3,2,79,66,259000
427942,-34.588272,-58.4716447,Paternal,ph,4,3,183,85,162000
284073,-34.633841,-58.468464,Flores,departamento,2,1,48,45,110000
410057,-34.5805062,-58.4895405,Villa Urquiza,departamento,3,2,75,70,210000
227538,-34.5867786,-58.4476068,Chacarita,casa,4,3,152,113,245000
231002,-34.6169448,-58.3914364,Monserrat,departamento,2,1,42,32,98000
149495,-34.5878261034,-58.4047000408,Recoleta,departamento,3,2,50,47,119000
428499,-34.6292,-58.452566,Caballito,departamento,2,1,48,39,124900
210310,-34.6248406,-58.4317986,Caballito,departamento,3,2,64,56,149480
452205,-34.5925131433,-58.3903583545,Recoleta,departamento,2,1,60,59,165000
65417,-34.5744295187,-58.443274498,Palermo,departamento,2,1,47,41,101050
147814,-34.6243373,-58.4462088,Caballito,departamento,2,1,44,41,95000
435831,-34.60341512989291,-58.41030434211024,Abasto,departamento,3,2,51,51,89000
453280,-34.5764513,-58.4488219,Colegiales,ph,3,2,133,110,270000
197359,-34.6030073,-58.4240391,Almagro,departamento,4,3,129,98,270000
186369,-34.5940966,-58.4075586,Barrio Norte,departamento,3,2,76,72,229000
21495,-34.626565,-58.430594,Caballito,ph,5,3,137,121,219800
155562,-34.5810746,-58.4135461,Palermo,departamento,3,2,78,68,225000
124707,-34.5663836,-58.4629604,Belgrano,departamento,4,3,102,88,258000
317139,-34.6379606,-58.5102212,Villa Luro,ph,2,1,45,45,119999
386452,-34.6194195,-58.4165053,Boedo,departamento,2,1,32,32,70000
319239,-34.5973837,-58.4051391,Barrio Norte,departamento,4,3,91,85,198000
397578,-34.563364,-58.438505,Palermo,departamento,4,3,142,132,495000
4107,-34.5474172,-58.4606493,Nuñez,ph,5,4,235,114,360000
293653,-34.6334,-58.518,Versalles,departamento,4,3,72,72,120000
67412,-34.5799008,-58.4351111,Palermo,departamento,1,1,33,30,82000
